id,name,price,type,rating,rating_number,location,website,contact_number,opening_hours,about,image_source,created_at,updated_at
52,Giorgio at Leadenhall,£41 and over,Italian,4.7,382,Bank,http://www.giorgioatleadenhall.co.uk/,020 7621 0709 ,Monday - Friday: 11:30am - 4pm; 6pm - 10pm,It’s the shape that strikes you first,https://images.otstatic.com/prod/23695039/1/medium.jpg,2022-01-26 16:46:12.195657+00,2022-01-26 16:46:12.195657+00
53,Straits Kitchen,£41 and over,Asian,4.4,46,Liverpool Street,https://www.panpacific.com/en/hotels-and-resorts/pp-london/dining/straits-kitchen.html,020 7118 6888 ,Breakfast Mon–Fri 06:30–10:30 Sat, Sun 07:00–11:00 Lunch Daily 12:00–14:30 Dinner Mon–Sat 17:30–22:00 Sun 17:30–21:30,https://images.otstatic.com/prod1/47081605/2/medium.jpg,2022-01-26 16:46:12.199261+00,2022-01-26 16:46:12.199261+00
54,Hithe + Seek NEW,£26 to £40,Tapas / Small Plates,4.8,7,Bank,http://www.hitheandseek.com/ ,020 3988 0141 ,Wed–Sat 15:00–23:00,Boasting a unique vantage overlooking the River Thames,https://images.otstatic.com/prod1/46729608/7/medium.jpg,2022-01-26 16:46:12.202876+00,2022-01-26 16:46:12.202876+00
55,Emilia's Crafted Pasta - Aldgate,£25 and under,Italian,4.4,682,Aldgate,http://www.emiliaspasta.com/,020 7702 9944,Mon–Wed 17:00–21:30 Thu–Sun 12:30–21:30,Emilia’s Aldgate is a fresh pasta restaurant located in the City within a few minutes’ walk of Aldgate/Aldgate East tube stations. It's our second restaurant following on from our first critically acclaimed and award-winning restaurant.  At Emilia’s all our pasta is made fresh every morning in our restaurant in full view of passers-by and served from our fully open kitchen. In true respect of Italian tradition,https://images.otstatic.com/prod/26357916/6/medium.jpg,2022-01-26 16:46:12.206467+00,2022-01-26 16:46:12.206467+00
56,Bleeding Heart Bistro,£26 to £40,French,4.5,968,Farringdon,http://bleedingheart.co.uk/french-restaurants/bistro/,020 7242 2056,Lunch Mon–Fri 12:00–15:00 Dinner Mon–Sat 17:30–21:00,The busy buzzy Bistro,https://images.otstatic.com/prod1/41978323/1/medium.jpg,2022-01-26 16:46:12.210265+00,2022-01-26 16:46:12.210265+00
57,Luc's Brasserie,£26 to £40,French,4.3,736,Fenchurch Street,http://www.lucsbrasserie.com/,020 7621 0666,Lunch Mon–Fri 12:00–15:00,Luc's is a French Brasserie situated in historic Leadenhall Market in the City of London. The menu comprises of French regional dishes,https://images.otstatic.com/prod/24689483/1/medium.jpg,2022-01-26 16:46:12.216727+00,2022-01-26 16:46:12.216727+00
58,Kirin Chinese Restaurant London,£25 and under,Chinese (Canton),4.3,269,Bank,http://kirins.co.uk/,020 7248 0253,Monday - Saturday: 11:30am - 11:00pm,Kirin Restaurant Located on College Hill near Cannon St and Bank,https://images.otstatic.com/prod/25101957/1/medium.jpg,2022-01-26 16:46:12.223031+00,2022-01-26 16:46:12.223031+00
59,Baracca,£25 and under,Italian,4.6,127,Barbican,http://www.baraccarestaurant.co.uk/,020 7588 0710 ,Monday - Friday: 17:30 - 22:30 ,Situated just a 3 minute walk from the Barbican Centre,https://images.otstatic.com/prod/24781149/1/medium.jpg,2022-01-26 16:46:12.229142+00,2022-01-26 16:46:12.229142+00
60,Gaucho Chancery,£41 and over,Steak,4.1,1717,Chancery Lane,http://www.gauchorestaurants.co.uk/,020 7242 7727,Mon–Fri 11:30–23:00 Sat 19:00–00:00,Gaucho Set Lunch Menu: 12–3PM | Two Courses - £24.50 | Three Courses - £27.50 | Monday- Friday Gaucho Pre/Post Theatre Menu 5-6:30 PM and 9:30-10:45 PM | Two Courses - £23.00 | Three Courses - £26.00 | Monday- Friday  Our Chancery Lane restaurant and bar sits where the prestigious legal district and meets the buzz of the West End.  Through its stunning arched windowed exterior,https://images.otstatic.com/prod/26085556/1/medium.jpg,2022-01-26 16:46:12.235708+00,2022-01-26 16:46:12.235708+00
61,Angler - London,£41 and over,Seafood,4.9,1026,Liverpool Street,http://www.anglerrestaurant.com/,020 3215 1260,Lunch Wed–Sat 12:00–14:15 Terrace opening times Wed–Sat 12:00–21:30 Dinner Wed–Sat 18:00–21:15,Perched at the top of South Place Hotel,https://images.otstatic.com/prod/27727638/4/medium.jpg,2022-01-26 16:46:12.238251+00,2022-01-26 16:46:12.238251+00
62,La Tagliata City,£26 to £40,Italian,4.6,431,Liverpool Street,http://www.la-tagliata.com/,020 7018 4300 ,Lunch Mon–Fri 12:00–14:15 Dinner Mon–Fri 18:00–22:00 Sat 18:30–22:15,Born out of a passion for Italian food and life,https://images.otstatic.com/prod/25874312/1/medium.jpg,2022-01-26 16:46:12.240177+00,2022-01-26 16:46:12.240177+00
63,Scarpetta Cannon Street NEW,£25 and under,Italian,3.9,3,Bank,http://www.scarpettapasta.com/,020 3883 4031,Mon–Fri 09:30–22:00,The word Scarpetta represents a moment of joy – it’s how we Italians define the gesture of taking a piece of bread to mop up the last delicious morsel of sauce on your plate – it signifies how we enjoy every moment in life. At Scarpetta our handmade pasta will entice you to do just this!,https://images.otstatic.com/prod/26600489/3/medium.jpg,2022-01-26 16:46:12.242252+00,2022-01-26 16:46:12.242252+00
64,The Folly,£25 and under,British,4.2,622,Bank,http://www.thefollybar.co.uk/,0845 468 0102,Mon–Sat 10:00–23:00 Sun 13:00–20:00,Wander through our garden lounge and flower shop, https://images.otstatic.com/prod1/31143471/2/medium.jpg,2022-01-26 16:46:12.245893+00,2022-01-26 16:46:12.245893+00
65,Ginger Lily,£26 to £40,Bar / Lounge / Bottle Service,4.6,18,Liverpool Street,https://www.panpacific.com/en/hotels-and-resorts/pp-london/dining/ginger-lily.html,020 7118 6888 ,Mon–Sat 16:00–02:00 Sun 16:00–00:00 ,Located inside Pan Pacific london.  Bottling the buzz and excitement of Singaporean bar culture for London,https://images.otstatic.com/prod1/47081269/4/medium.jpg,2022-01-26 16:46:12.249384+00,2022-01-26 16:46:12.249384+00
66,Bolton's,£41 and over,Italian,4.9,216,Bank,http://www.boltonsrestaurant.co.uk/default.asp,020 7929 1981,Lunch Mon–Fri 11:30–15:30 Dinner Mon–Fri 18:00–21:30,London’s Bolton’s Restaurant is a popular City haunt,https://images.otstatic.com/prod/23933208/1/medium.jpg,2022-01-26 16:46:12.253064+00,2022-01-26 16:46:12.253064+00
67,Rake's Cafe Bar,£25 and under,British,4.2,71,Moorgate,http://www.rakescafebar.co.uk/,020 7618 7300 ,Breakfast Mon–Thu 06:30–11:30 Lunch Mon–Thu 12:00–22:00 Brunch Fri–Sun 12:00–16:00 Dinner Fri, Sat 16:00–22:00,https://images.otstatic.com/prod1/32528671/3/medium.jpg,2022-01-26 16:46:12.254835+00,2022-01-26 16:46:12.254835+00
68,Kenza,£26 to £40,Lebanese,4.4,3584,Aldgate,http://www.kenza-restaurant.com/,020 7929 5533,Hours of Operation Lunch Mon–Fri 12:00–17:00 Dinner Mon–Thu 17:00–22:00 Fri, Sat 17:00–23:00,https://images.otstatic.com/prod/23679952/1/medium.jpg,2022-01-26 16:46:12.256977+00,2022-01-26 16:46:12.256977+00
69,Thai Square Mansion House,£26 to £40,Thai,4.2,494,St Paul's,https://thaisq.com/,020 7329 0001,Mon–Fri 12:00–15:00 Mon–Fri 17:30–22:00,Thai Square Mansion House is a hidden gem in the heart of the city. Right outside of the Mansion House tube station and within walking distance from St. Paul Cathedral, https://images.otstatic.com/prod/25955815/1/medium.jpg,2022-01-26 16:46:12.258708+00,2022-01-26 16:46:12.258708+00
70,Iberica Farringdon,£26 to £40,Spanish,4.5,1042,Farringdon,http://www.ibericarestaurants.com/,020 3026 5118,Tue–Sat 12:00–15:00 Tue–Sat 17:00–23:00,Located in the heart of trendy Clerkenwell 2 minutes from Farringdon tube station,https://images.otstatic.com/prod/26520059/3/medium.jpg,2022-01-26 16:46:12.261047+00,2022-01-26 16:46:12.261047+00
71,Humble Grape Liverpool Street,£25 and under,Wine Bar,4.7,24,Liverpool Street,http://www.humblegrape.co.uk/wine-bar/liverpool-street/,020 3887 9287 ,Mon–Thu 15:00–23:00 Fri, Sat 15:00–00:00,https://images.otstatic.com/prod/25312457/1/medium.jpg,2022-01-26 16:46:12.263444+00,2022-01-26 16:46:12.263444+00
72,Paternoster Chop House,£26 to £40,British,4.5,2336,St Paul's,http://www.paternosterchophouse.co.uk/,020 7029 9400,Tue 12:00–21:00 Sat 12:00–22:30 Sun 12:00–16:30,We are bringing back the great British Chop House – harking back to a time when meat was king,https://images.otstatic.com/prod1/41938559/2/medium.jpg,2022-01-26 16:46:12.265058+00,2022-01-26 16:46:12.265058+00
73,Satyrio,£26 to £40,Italian,4.7,103,Aldgate,http://satyrio.co.uk/,020 7488 3334,Tue–Fri 12:00–23:00 Sat 17:00–23:00,Situated in London’s Aldgate,https://images.otstatic.com/prod1/41914536/2/medium.jpg,2022-01-26 16:46:12.267015+00,2022-01-26 16:46:12.267015+00
74,Caravaggio,£26 to £40,Italian,4.3,794,Fenchurch Street,http://www.caravaggiorestaurant.co.uk/,020 7626 6206,Lunch: Monday - Friday: 12:00pm - 3.00pm Dinner: Monday - Friday: 6.00pm - 10.00pm,Formerly opened by Luciano Pavarotti in 1996,https://images.otstatic.com/prod/23684287/1/medium.jpg,2022-01-26 16:46:12.269053+00,2022-01-26 16:46:12.269053+00
75,Indian City,£25 and under,Indian,4.7,177,Blackfriars,http://indiancity.co.uk/,020 7353 5525,Open Daily: 12:00pm to 3:00pm, 5:45pm to 12:00am,https://images.otstatic.com/prod/23709427/1/medium.jpg,2022-01-26 16:46:12.270363+00,2022-01-26 16:46:12.270363+00
76,Barcelona Tapas - City EC3,£25 and under,Tapas / Small Plates,4.1,540,Aldgate,http://www.barcelona-tapas.com/locations_EC3A7DT_E.htm,020 7377 5111,Mon–Sat 12:00–00:00,Barcelona Tapas Bar and Restaurant Established 1991 one of the first Spanish Restaurants in London is located within a large prestigious office complex with the official address of 15 St Botolph Street although the restaurant frontage and customer entrance is located at ground level on Middlesex Street. Barcelona Tapas consists of a ground level comprising a combination of bar area and traditional table and chair seating and a mezzanine level providing traditional tables and chairs. Private parties of up to 200 people can be catered for. An outside terrace seating 80. Barcelona Tapas pride themselves in the quality of their food and wines but most of all,https://images.otstatic.com/prod1/41914387/2/medium.jpg,2022-01-26 16:46:12.274092+00,2022-01-26 16:46:12.274092+00
77,Polo Bar,£25 and under,British,4.3,10,Liverpool Street,https://polo24hourbar.co.uk/,020 7283 4889,Daily 05:00–04:45,Polo Bar is a 24 hour Café & Bar serving Great British food around the clock. We also serve alcohol 24/7 so why not come in and have a drink with us - any time! We are located bang opposite Liverpool Street Station on Bishopsgate - easy to get to and to get home from!! We are famous for our legendary English Breakfasts and our pancakes. All our food is freshly made to order and we source products locally where possible - not many avo's grown in London tho! If you cannot find a reservation here please call to see if we have any additional space - 020 7283 4889.,https://images.otstatic.com/prod1/42747291/4/medium.jpg,2022-01-26 16:46:12.27764+00,2022-01-26 16:46:12.27764+00
78,Fish Market,£25 and under,Seafood,4.6,1093,Liverpool Street,http://www.fishmarket-restaurant.co.uk/,020 3503 0790,Tue–Sat 11:30–22:00,In line with government advice,https://images.otstatic.com/prod/23709773/1/medium.jpg,2022-01-26 16:46:12.279559+00,2022-01-26 16:46:12.279559+00
79,Humble Grape Fleet Street,£25 and under,Wine Bar,4.5,45,Fleet Street,https://www.humblegrape.co.uk/wine-bar/fleet-street/,020 7583 0688 ,Wed–Fri 16:00–23:00,We’re an independent wine merchant and tasting event company specialising in boutique,https://images.otstatic.com/prod/26228467/1/medium.jpg,2022-01-26 16:46:12.28172+00,2022-01-26 16:46:12.28172+00
80,Kings Stores,£25 and under,British,4.5,188,Liverpool Street,http://www.kingsstores.co.uk/,020 7247 4089,Monday -Friday: 11:00 - 22:00 Saturday: 11:00 - 22:00  Sunday: 12:00 - 21:00,Nestled between Liverpool Street Station and Spitalfields Market,https://images.otstatic.com/prod/23710749/1/medium.jpg,2022-01-26 16:46:12.283355+00,2022-01-26 16:46:12.283355+00
81,The Wilmington,£25 and under,Gastro Pub,4.6,895,Farringdon,http://www.wilmingtonclerkenwell.com/,020 7837 1384,Hours of Operation Mon–Sat 12:00–23:00 Sun 12:00–22:30,Welcome to The Wilmington,https://images.otstatic.com/prod/24488763/1/medium.jpg,2022-01-26 16:46:12.284966+00,2022-01-26 16:46:12.284966+00
82,Comptoir Libanais Liverpool Street,£25 and under,Lebanese,4,162,Liverpool Street,http://www.comptoirlibanais.com/,020 7657 1973,Mon–Sat 12:00–23:00 Sun 12:00–18:00,Comptoir Libanais offers an all-day dining experience serving Lebanese and Middle Eastern cuisine. The food is healthy,https://images.otstatic.com/prod/24620033/1/medium.jpg,2022-01-26 16:46:12.287055+00,2022-01-26 16:46:12.287055+00
83,Mumbai Square,£25 and under,British,3.8,28,Aldgate,http://www.mumbaisquare.co.uk/,020 7247 6461,Lunch Daily 12:00–15:00 Dinner Daily 17:30–23:00,Mumbai Square is one of the best Indian restaurants in Aldgate London. It is located in the City between Liverpool Street and Aldgate underground station.   A few minutes away from Bricklane and Spitalfields market,https://images.otstatic.com/prod/26197090/3/medium.jpg,2022-01-26 16:46:12.288675+00,2022-01-26 16:46:12.288675+00
84,Mosaic,£26 to £40,International,4.2,2,Bank,https://www.marriott.com/hotels/hotel-information/restaurant/lonwi-the-westin-london-city/,020 3988 0143,Daily 07:00–21:00,Mosaic is a convivial city all-day dining venue featuring global dishes,https://images.otstatic.com/prod1/46689932/2/medium.jpg,2022-01-26 16:46:12.292362+00,2022-01-26 16:46:12.292362+00
86,1947 RESTAURANT,£25 and under,Indian,4.5,48,Aldgate,http://1947restaurant.co.uk/,020 3583 1908,"","",https://images.otstatic.com/prod1/41926660/1/medium.jpg,2022-01-26 16:46:12.299801+00,2022-01-26 16:46:12.299801+00
87,Duke Of Somerset,£25 and under,Pub,3,1,Aldgate,http://www.craft-pubs.co.uk/dukeofsomersetlondon,020 7680 9962 ,Bar Mon–Wed 11:00–23:00 Thu, Fri 11:00–00:00 Sat 12:00–22:00 Lunch Mon–Fri 11:00–16:45 Sat 12:00–16:45 Dinner Mon–Fri 17:00–22:00 Sat 17:00–20:00, https://images.otstatic.com/prod1/46809395/3/medium.jpg,2022-01-26 16:46:12.30345+00,2022-01-26 16:46:12.30345+00
88,Sfoglia Bologna,£26 to £40,Italian,3.9,322,Aldgate,http://www.sfogliabologna.uk/,020 7247 3354,Mon, Thu–Sun 12:00–23:30,https://images.otstatic.com/prod1/47156675/5/medium.jpg,2022-01-26 16:46:12.3071+00,2022-01-26 16:46:12.3071+00
89,Vivat Bacchus Farringdon,£26 to £40,European,4.7,1165,Farringdon,http://www.vivatbacchus.co.uk/,020 7353 2648 ,Monday - Friday: 12pm - 10.30pm Saturday: 5pm - 10.30pm,The Vivat Bacchus restaurants,https://images.otstatic.com/prod/23895809/1/medium.jpg,2022-01-26 16:46:12.310837+00,2022-01-26 16:46:12.310837+00
90,Brasserie Blanc - Chancery Lane,£26 to £40,French,4.5,47,Chancery Lane,http://brasserieblanc.com/restaurants/chancery-lane/,020 7405 0290 ,Monday - Friday: 12:00 - 22:00 Saturday: 16:30 - 21:00,At the Fleet Street end of the lane,https://images.otstatic.com/prod/24601538/1/medium.jpg,2022-01-26 16:46:12.31414+00,2022-01-26 16:46:12.31414+00
91,Willy's Wine Bar,£25 and under,British,4,37,Fenchurch Street,http://www.jamies.london/bars/willys/,020 7480 7289 ,Mon–Fri 11:00–23:00,Just a stones throw from Fenchurch Street Station,https://images.otstatic.com/prod1/43671375/3/medium.jpg,2022-01-26 16:46:12.317804+00,2022-01-26 16:46:12.317804+00
92,Balfour at St. Bart's,£26 to £40,English,3.6,9,Farringdon,http://www.balfourstbarts.om/,020 7600 2705 ,Lunch Mon–Fri 12:00–17:00 Dinner Mon–Fri 17:00–21:30,We love English wine,https://images.otstatic.com/prod1/42728761/3/medium.jpg,2022-01-26 16:46:12.32141+00,2022-01-26 16:46:12.32141+00
93,Krua by Nathong,£25 and under,Thai,4.2,212,Blackfriars,http://www.kruabynathong.com/,020 7213 9888,Mon–Fri 12:00–15:00 Mon–Sat 17:00–22:00,Contemporary Thai restaurant from Thailand would like to bring you the real taste of Thai food and what Thai people have for their meals to UK. Nathong restaurant has been open since 1984 in Bangkok,https://images.otstatic.com/prod1/32488052/1/medium.jpg,2022-01-26 16:46:12.325225+00,2022-01-26 16:46:12.325225+00
94,Green Mosaic,£25 and under,Pizza Bar,4.8,13,Farringdon,"",020 3556 4775 ,Mon–Thu 11:00–22:00 Fri 11:00–22:30 Sat 12:00–22:30 Sun 12:00–20:30,Inspired by the idea of creating something unique and different,https://images.otstatic.com/prod1/43462520/3/medium.jpg,2022-01-26 16:46:12.329115+00,2022-01-26 16:46:12.329115+00
95,The One Tun,£25 and under,Pan-Asian,4.3,42,Farringdon,http://www.onetun.co.uk/,020 7405 1521,Mon–Sat 12:00–21:00,The One Tun Pub & Rooms is a beautiful gastro pub serving delicious Pan Asian food with boutique bedrooms & is located in the heart of Farringdon.,https://images.otstatic.com/prod/24004064/1/medium.jpg,2022-01-26 16:46:12.33257+00,2022-01-26 16:46:12.33257+00
96,Silverleaf,£26 to £40,International,5,3,Liverpool Street,https://www.panpacific.com/en/hotels-and-resorts/pp-london/dining/devonshire-house-bar.html,020 7118 6888,Daily 17:00–02:00 ,Located on the third floor of Devonshire House,https://images.otstatic.com/prod1/47119359/5/medium.jpg,2022-01-26 16:46:12.336302+00,2022-01-26 16:46:12.336302+00
97,The One Tun,£25 and under,Pan-Asian,4.3,42,Farringdon,http://www.onetun.co.uk/,020 7405 1521,Mon–Sat 12:00–21:00,The One Tun Pub & Rooms is a beautiful gastro pub serving delicious Pan Asian food with boutique bedrooms & is located in the heart of Farringdon.,https://images.otstatic.com/prod/24004064/1/medium.jpg,2022-01-26 16:46:12.339806+00,2022-01-26 16:46:12.339806+00
98,be-oom,£25 and under,Korean,4.6,19,Clerkenwell,http://www.be-oom.com/,020 7833 9757 ,Tue–Sat 10:30–18:30 Sun 12:00–17:00,Our flagship tea bar and garden is located on Exmouth Market in the heart of Clerkenwell,https://images.otstatic.com/prod1/42034776/3/medium.jpg,2022-01-26 16:46:12.34341+00,2022-01-26 16:46:12.34341+00
99,India India,£25 and under,Indian,3.9,29,Blackfriars,http://www.indiaindiarestaurant.co.uk/,020 7353 2898,Mon - Fri: 11:30am – 3:00pm 5:30pm – 11:00pm Sat: 5:30pm – 11:00pm,At India India Restaurant,https://images.otstatic.com/prod/27367530/1/medium.jpg,2022-01-26 16:46:12.347149+00,2022-01-26 16:46:12.347149+00
100,Bengal Tiger Restaurant,£25 and under,Indian,4.1,316,Blackfriars,http://www.bengaltiger.org.uk/,020 7248 6361 ,Mon–Sat 11:30–15:00 Mon–Sat 17:30–22:00,Bengal Tiger restaurant in the City of London is just a few minutes’ walk from Blackfriars tube station and an equally short stroll from St Pauls Cathedral. This Indian restaurant offers northern Indian cuisine in a sleek,https://images.otstatic.com/prod/23709240/1/medium.jpg,2022-01-26 16:46:12.350713+00,2022-01-26 16:46:12.350713+00
101,Macellaio RC Exmouth Market,£26 to £40,Italian,4.5,271,Farringdon,http://www.macellaiorc.com/,020 3696 8220,Mon–Thu 12:00–14:30 Mon–Thu 18:00–22:30 Fri–Sun 12:00–22:00,MACELLAIO RC EXMOUTH MARKET is the second restaurant of Roberto Costa and a hymn to Italian excellence. Here, https://images.otstatic.com/prod/24860431/1/medium.jpg,2022-01-26 16:46:12.354337+00,2022-01-26 16:46:12.354337+00
102,Jamies St. Mary at Hill,£25 and under,British,3.8,44,Fenchurch Street,http://www.jamiesbars.co.uk/bars/st-mary,020 7283 9504 ,Mon–Fri 11:00–23:00 ,Situated in the heart of the city,https://images.otstatic.com/prod1/43671338/3/medium.jpg,2022-01-26 16:46:12.35803+00,2022-01-26 16:46:12.35803+00
